workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,native-country,income,age_bin,hours_bin
7,77516,9,4,4,1,1,4,1,2174,0,39,0,2,1
6,83311,9,4,2,4,0,4,1,0,0,39,0,2,0
4,215646,11,15,0,6,1,4,1,0,0,39,0,2,1
4,234721,1,13,2,6,0,2,1,0,0,39,0,3,1
4,338409,9,4,2,10,5,2,0,0,0,5,0,1,1
4,284582,12,5,2,4,5,4,0,0,0,39,0,2,1
4,160187,6,11,3,8,1,2,0,0,0,23,0,2,0
6,209642,11,15,2,4,0,4,1,0,0,39,1,3,2
4,45781,12,5,4,10,1,4,0,14084,0,39,1,1,2
4,159449,9,4,2,4,0,4,1,5178,0,39,1,2,1
4,280464,15,1,2,4,0,2,1,0,0,39,1,2,3
7,141297,9,4,2,10,0,1,1,0,0,19,1,1,1
4,122272,9,4,4,1,3,4,0,0,0,39,0,0,1
4,205019,7,3,4,12,1,2,1,0,0,39,0,1,2
4,121772,8,2,2,3,0,1,1,0,0,0,1,2,1
4,245487,5,10,2,14,0,0,1,0,0,26,0,1,2
6,176756,11,15,4,5,3,4,1,0,0,39,0,0,1
4,186824,11,15,4,7,4,4,1,0,0,39,0,1,1
4,28887,1,13,2,12,0,4,1,0,0,39,0,2,2
6,292175,12,5,0,4,4,4,0,0,0,39,1,2,2
4,193524,10,7,2,10,0,4,1,0,0,39,1,2,2
4,302146,11,15,5,8,4,2,0,0,0,39,0,3,0
1,76845,6,11,2,5,0,2,1,0,0,39,0,1,1
4,117037,1,13,2,14,0,4,1,0,2042,39,0,2,1
4,109015,11,15,0,13,4,4,0,0,0,39,0,3,1
2,216851,9,4,2,13,0,4,1,0,0,39,1,3,1
4,168294,11,15,4,3,3,4,1,0,0,39,0,0,1
0,180211,15,1,2,0,0,1,1,0,0,35,1,3,2
4,367260,11,15,0,4,1,4,1,0,0,39,0,2,3
4,193366,11,15,2,3,0,4,1,0,0,39,0,2,1
2,190709,7,3,4,11,1,4,1,0,0,39,0,0,2
4,266015,15,1,4,12,3,2,1,0,0,39,0,0,2
4,386940,9,4,0,4,3,4,1,0,1408,39,0,2,1
1,59951,15,1,2,1,3,4,1,0,0,39,0,1,1
7,311512,15,1,2,8,0,2,1,0,0,39,0,0,0
4,242406,1,13,4,7,4,4,1,0,0,33,0,2,1
4,197200,15,1,4,7,3,4,1,0,0,39,0,0,1
4,544091,11,15,1,1,5,4,0,0,0,39,0,0,1
4,84154,15,1,2,12,0,4,1,0,0,0,1,1,1
6,265477,7,3,2,10,0,4,1,0,0,39,0,2,1
4,507875,6,11,2,7,0,4,1,0,0,39,0,1,2
6,88506,9,4,2,10,0,4,1,0,0,39,0,3,1
4,172987,9,4,2,13,0,4,1,0,0,39,0,0,2
4,94638,11,15,5,1,4,4,0,0,0,39,0,2,1
4,289980,11,15,4,6,1,4,1,0,0,39,0,0,1
1,337895,9,4,2,10,0,2,1,0,0,39,1,3,1
4,144361,11,15,2,7,0,4,1,0,0,39,0,3,1
4,128354,12,5,0,4,4,4,0,0,0,39,0,2,1
7,101603,8,2,2,3,0,4,1,0,0,39,0,2,1
4,271466,8,2,4,10,1,4,1,0,0,39,0,1,2
4,32275,15,1,2,4,5,3,0,0,0,39,0,0,1
4,226956,11,15,4,8,3,4,0,0,0,0,0,0,1
4,51835,14,6,2,10,5,4,0,0,1902,16,1,2,2
1,251585,9,4,0,4,1,4,1,0,0,39,1,2,2
5,109832,11,15,0,4,1,4,1,0,0,39,0,2,2
4,237993,15,1,2,13,0,4,1,0,0,39,1,2,1
4,216666,4,9,2,7,0,4,1,0,0,26,0,2,1
4,56352,8,2,2,8,0,4,1,0,0,33,0,1,1
4,147372,11,15,2,1,0,4,1,0,0,39,0,2,2
4,188146,11,15,2,7,0,4,1,5013,0,39,0,1,1
4,59496,9,4,2,12,0,4,1,2407,0,39,0,1,1
0,293936,5,10,3,0,1,4,1,0,0,0,0,1,1
4,149640,11,15,2,14,0,4,1,0,0,39,0,2,1
4,116632,10,7,2,10,0,4,1,0,0,39,1,2,2
4,105598,15,1,0,13,1,4,1,0,0,39,0,1,2
4,155537,11,15,2,3,0,4,1,0,0,39,0,2,1
4,183175,15,1,0,1,1,4,0,0,0,39,0,1,1
4,169846,11,15,2,1,5,4,0,0,0,39,1,3,1
5,191681,15,1,2,4,0,4,1,0,0,39,1,2,2
0,200681,15,1,4,0,3,4,1,0,0,39,0,0,1
4,101509,15,1,4,10,3,4,1,0,0,39,0,0,1
4,309974,9,4,5,12,3,2,0,0,0,39,0,1,1
6,162298,9,4,2,12,0,4,1,0,0,39,1,1,3
4,211678,15,1,4,7,1,4,1,0,0,39,0,0,1
4,124744,15,1,2,10,2,4,1,0,0,39,0,4,0
4,213921,11,15,4,8,3,4,1,0,0,26,0,1,1
4,32214,7,3,2,1,0,4,1,0,0,39,0,2,1
0,212759,0,12,2,0,0,4,1,0,0,39,0,4,0
4,309634,1,13,4,8,3,4,0,0,0,39,0,0,1
2,125927,5,10,2,5,0,4,1,0,0,39,0,1,1
4,446839,11,15,4,12,1,4,1,0,0,39,0,0,1
4,276515,9,4,2,8,0,4,1,0,0,5,0,3,1
4,51618,11,15,2,8,5,4,0,0,0,39,0,2,1
4,159937,11,15,2,12,0,4,1,0,0,39,0,3,2
4,343591,11,15,0,3,1,4,0,14344,0,39,1,2,1
4,346253,11,15,0,12,3,4,0,0,0,39,0,3,1
2,268234,11,15,2,11,0,4,1,0,0,39,1,2,1
4,202051,12,5,2,10,0,4,1,0,0,39,0,1,2
4,54334,6,11,4,12,1,4,1,0,0,39,0,1,1
1,410867,10,7,4,10,1,4,0,0,0,39,1,2,2
4,249977,8,2,2,10,0,4,1,0,0,39,0,3,1
4,286730,15,1,0,3,4,4,0,0,0,39,0,2,1
4,212563,15,1,0,7,4,2,0,0,0,39,0,1,1
